;比奇大地图
比奇省,343,245,比奇城,$33FFFF,0
比奇省,154,21,兽人古墓(15-20级),$7BBDCE,0
比奇省,332,60,沃玛森林(7-15级),$7BBDCE,0
比奇省,620,80,毒蛇山谷,$7BBDCE,0
比奇省,294,630,边界村,$33FFFF,0
比奇省,620,626,银杏山谷,$33FFFF,0
比奇省,120,108,洞穴(15-20级),$7BBDCE,0
比奇省,600,192,比奇矿区,$7BBDCE,0
比奇省,600,242,$7BBDCE,0
比奇省,29,456,比奇画家,$7BBDCE,0
比奇省,364,230,龙卫雕像,$7BBDCE,0

比奇省,320,653,石原地界,$33FFFF,0
比奇省,320,653,石原地界,$33FFFF,1

比奇省,312,486,林麓山庄,$33FFFF,0
比奇省,616,504,牧野营地,$33FFFF,0
比奇省,472,388,桃花林,$33FFFF,0
比奇省,108,420,神秘废墟,$33FFFF,0
比奇省,364,230,龙卫雕像,$7BBDCE,1
比奇省,29,456,比奇画家,$7BBDCE,1
;比奇小地图
比奇省,341,297,武器店,$7BBDCE,1
比奇省,311,301,服装店,$7BBDCE,1
比奇省,301,275,首饰店,$7BBDCE,1
比奇省,392,220,武馆,$7BBDCE,1
比奇省,378,299,杂货铺,$7BBDCE,1
比奇省,327,283,药店,$7BBDCE,1
比奇省,298,244,仓库,$7BBDCE,1
比奇省,324,242,书店,$7BBDCE,1
比奇省,351,181,皇宫,$7BBDCE,1
比奇省,415,237,竞技场,$7BBDCE,1
比奇省,314,272,肉店,$7BBDCE,1
比奇省,313,252,英雄之门,$7BBDCE,1

;比奇省银杏山谷
比奇省,648,591,肉店,$7BBDCE,1
比奇省,642,601,服装店,$7BBDCE,1
比奇省,649,602,武器店,$7BBDCE,1
比奇省,642,611,杂货铺,$7BBDCE,1
比奇省,649,617,药店,$7BBDCE,1
比奇省,619,642,仓库,$7BBDCE,1
;比奇省边界村
比奇省,290,610,药店,$7BBDCE,1
比奇省,292,603,肉店,$7BBDCE,1	
比奇省,295,613,武器店,$7BBDCE,1	
比奇省,303,608,服装店,$7BBDCE,1
比奇省,302,623,首饰店,$7BBDCE,1	
比奇省,274,640,书店,$7BBDCE,1
比奇省,292,644,边界旅馆,$7BBDCE,1

;沃玛森林
沃玛森林,39,39,白日门,$33FFFF,0
沃玛森林,42,159,封魔谷,$33FFFF,0
沃玛森林,39,39,白日门,$33FFFF,0
沃玛森林,129,267,沃玛寺庙(25-35级),$33FFFF,0
沃玛森林,522,546,比奇省,$33FFFF,0
沃玛森林,300,54,沃玛废村,$33FFFF,0

;沃玛废村
沃玛森林,312,72,武器修理,$7BBDCE,1
沃玛森林,308,81,药店,$7BBDCE,1	

;盟重大地图

