普通技能,烈焰·焚天继海,在地面产生大范围火焰，使法术区域内的敌人受到致命伤害，并且有概率召唤火凤
普通技能,圣者·无敌,长期修习体魄，使得自身血量，双防大幅度暴涨
普通技能,剑姬·无坚不摧,长期修习剑术，使得自身攻击力大幅度暴涨
普通技能,阴阳·雷霆法阵,以精神力召唤雷霆法阵，对周围怪物进行群杀嘲讽
普通技能,咒·潜入,以精神力念动咒语，使得自己一直保持隐身状态
普通技能,魅姬·尸气鼓荡,以精神力催动毒物，使群体敌人虚弱状态，持续掉血、防御魔御削弱、攻击力大幅下降，并且可能会被麻痹
普通技能,寒冰·冰封千里,使魔力催动冰雪，造成一阵冰风带，对踏入的敌人造成伤害

普通技能,辅助·医疗阵,使用精神力，治疗目标
普通技能,辅助·阴阳加持,使用精神力，为目标提升攻击、魔法、道术
普通技能,毒·十香软筋散,使用毒物，是群体敌人丧失行动能力，并有概率中毒，敌人可能为此被石化
普通技能,辅助·六道轮回,使用精神力，为目标提升魔防，物防
普通技能,忍术·手里剑,消耗十枚手里剑攻击敌人，可能会中毒
普通技能,忍术·范围引爆,消耗十张起爆符，使范围发生剧烈爆炸，会击退敌人
普通技能,忍术·通灵术,将已经召唤的宝宝通灵到身边
普通技能,忍术·掌心雷,催动掌心，攻击一排敌人
普通技能,忍术·影分身术,召唤一个影分身攻击敌人，持续2分钟，冷却10分钟

普通技能,通用·护体神盾,削减30%伤害
普通技能,召唤宠物,佩戴宠物后可召唤对应的宠物\每次召唤消耗1点寿命，寿命不足则死亡\仅可学习1级，出生后自带该技能
普通技能,任务界面,使用后可打开任务界面\再次使用则关闭界面\仅可学习1级，出生后自带该技能
普通技能,半月弯刀,使用劲气可同时攻击环绕自身周围的敌人
普通技能,爆裂火焰,产生高热的火焰，使法术区域内的敌人受到伤害
普通技能,冰咆哮,召唤强力的暴风雪，使法术区域内的敌人受到伤害
普通技能,灭天火,召唤天火，使单个目标受到伤害同时扣除其魔力值
普通技能,刺杀剑术,隔位施展剑气，使敌人受到大幅伤害
普通技能,大火球,凝聚自身魔力发射一枚大火球攻击目标
普通技能,地狱火,向前挥出一堵火焰墙，使法术区域内的敌人受到伤害
普通技能,攻杀剑术,攻击时有机率造成大幅伤害
普通技能,寒冰掌,产生巨大的魔力推力
普通技能,灵魂火符,将精神之力附着在护身符上，远程攻击目标
普通技能,火墙,在地面上产生火焰，使踏入的敌人受到伤害
普通技能,火球术,凝聚自身魔力发射一枚火球攻击目标
普通技能,流星火雨,召唤一阵猛烈的火雨，使法术区域内的敌人受到伤害
普通技能,疾光电影,积蓄一道光电，使直线上所有敌人受到伤害
普通技能,基本剑术,提高自身的攻击命中率
普通技能,抗拒火环,将身边的人或者怪兽推开
普通技能,召唤骷髅,使用护身符从地狱的深处召唤骷髅
普通技能,困魔咒,被限制在咒语中的怪兽因为看不见外面的情况只能绕着圈走
普通技能,雷电术,从空中召唤一道雷电攻击敌人
普通技能,地狱雷光,能够呼唤出一股强力的雷光风暴，伤害所有围在身边的敌人
普通技能,烈火剑法,召唤火精灵附在武器上，从而造成强力的额外伤害
普通技能,魔法盾,使用自身魔力制造一个魔法盾减少施法者受到的伤害
普通技能,心灵启示,查看目标体力
普通技能,气功波,一种内功的修炼，可以推开周围的怪物而得以防身的作用
普通技能,群体治愈术,恢复自己和周围所有玩家的体力
普通技能,集体隐身术,通达大量释放精神之力，能够隐藏范围内的人
普通技能,召唤神兽,使用护身符召唤一只强大神兽作为自己的随从
普通技能,圣言术,有机率一击杀死不死生物
普通技能,施毒术,配合特殊药粉可以指定某个目标中毒
普通技能,噬血术,驱使护身符，吸取对方生命
普通技能,瞬息移动,利用强大魔力打乱空间，从而达到随机传送目的的法术
普通技能,野蛮冲撞,用肩膀把敌人撞开，如果撞到障碍物将会对自己造成伤害
普通技能,隐身术,在自身周围释放精神之力使怪物无法察觉你的存在
普通技能,幽灵盾,使用护身符提高范围内非敌方的魔法防御力
普通技能,诱惑之光,通过闪光电击使敌人瘫痪，甚至可以使怪物成为忠实的仆人
普通技能,精神力战法,通过与精神之力沟通，可以提高战斗时的命中率
普通技能,神圣战甲术,使用护身符提高范围内非敌方的防御力
普通技能,治愈术,释放精神之力恢复自己或者他人的体力
普通技能,逐日剑法,剑气凝聚成形，瞬间化作一道光影，突袭身前的敌人
普通技能,无极真气,利用自然真气，引发体内潜力，瞬间倍增自身精神力
普通技能,酒气护体,醉酒状态时可利用酒劲短时间强化自身体力
普通技能,先天元力,通过提升酒量永久获得防御属性加成

普通技能,白日门半月,使用劲气可同时攻击环绕自身周围的敌人
普通技能,白日门灭天火,召唤天火，使单个目标受到伤害同时扣除其魔力值
普通技能,白日门爆裂,产生高热的火焰，使法术区域内的敌人受到伤害
普通技能,白日门冰咆哮,召唤强力的暴风雪，使法术区域内的敌人受到伤害
普通技能,白日门刺杀,隔位施展剑气，使敌人受到大幅伤害
普通技能,白日门大火球,凝聚自身魔力发射一枚大火球攻击目标
普通技能,白日门地狱火,向前挥出一堵火焰墙，使法术区域内的敌人受到伤害
普通技能,白日门攻杀,攻击时有机率造成大幅伤害
普通技能,白日门寒冰掌,产生巨大的魔力推力
普通技能,白日门火符,将精神之力附着在护身符上，远程攻击目标
普通技能,白日门火墙,在地面上产生火焰，使踏入的敌人受到伤害
普通技能,白日门火球术,凝聚自身魔力发射一枚火球攻击目标
普通技能,白日门火雨,召唤一阵猛烈的火雨，使法术区域内的敌人受到伤害
普通技能,白日门疾光,积蓄一道光电，使直线上所有敌人受到伤害
普通技能,白日门剑术,提高自身的攻击命中率
普通技能,白日门抗拒,将身边的人或者怪兽推开
普通技能,白日门骷髅术,使用护身符从地狱的深处召唤骷髅
普通技能,白日门困魔咒,被限制在咒语中的怪兽因为看不见外面的情况只能绕着圈走
普通技能,白日门雷电术,从空中召唤一道雷电攻击敌人
普通技能,白日门雷光,能够呼唤出一股强力的雷光风暴，伤害所有围在身边的敌人
普通技能,白日门烈火,召唤火精灵附在武器上，从而造成强力的额外伤害
普通技能,白日门魔法盾,使用自身魔力制造一个魔法盾减少施法者受到的伤害
普通技能,白日门启示,查看目标体力
普通技能,白日门气功波,一种内功的修炼，可以推开周围的怪物而得以防身的作用
普通技能,白日门群疗,恢复自己和周围所有玩家的体力
普通技能,白日门群隐,通达大量释放精神之力，能够隐藏范围内的人
普通技能,白日门神兽术,使用护身符召唤一只强大神兽作为自己的随从
普通技能,白日门圣言术,有机率一击杀死不死生物
普通技能,白日门施毒术,配合特殊药粉可以指定某个目标中毒
普通技能,白日门噬血术,驱使护身符，吸取对方生命
普通技能,白日门瞬移,利用强大魔力打乱空间，从而达到随机传送目的的法术
普通技能,白日门野蛮,用肩膀把敌人撞开，如果撞到障碍物将会对自己造成伤害
普通技能,白日门隐身,在自身周围释放精神之力使怪物无法察觉你的存在
普通技能,白日门幽灵盾,使用护身符提高范围内非敌方的魔法防御力
普通技能,白日门诱惑术,通过闪光电击使敌人瘫痪，甚至可以使怪物成为忠实的仆人
普通技能,白日门战法,通过与精神之力沟通，可以提高战斗时的命中率
普通技能,白日门战甲术,使用护身符提高范围内非敌方的防御力
普通技能,白日门治愈术,释放精神之力恢复自己或者他人的体力
普通技能,白日门逐日,剑气凝聚成形，瞬间化作一道光影，突袭身前的敌人
普通技能,白日门真气,利用自然真气，引发体内潜力，瞬间倍增自身精神力
普通技能,白日门强身术,大幅提高英雄血量
普通技能,白日门唯我独尊,运用内力激发经脉潜能，立即解除麻痹状态

普通技能,白日门血魄(战),消耗内力召唤龙魂，随着武器的挥击攻向目标
普通技能,白日门血魄(法),消耗内力召唤出一条炽热的火龙之魂攻击目标
普通技能,白日门血魄(道),消耗内力召唤出数道白色的龙魂攻击目标

普通技能,血魄一击(战),消耗内力召唤龙魂，随着武器的挥击攻向目标
普通技能,血魄一击(法),消耗内力召唤出一条炽热的火龙之魂攻击目标
普通技能,血魄一击(道),消耗内力召唤出数道白色的龙魂攻击目标

普通技能,分身术,领悟魔法的终极奥义，幻化出分身一起战斗
普通技能,火龙气焰,召唤出可以熔化天日的火龙气焰
普通技能,开天斩,凝聚力量的顶点，幻化出一柄巨剑，爆发出毁天灭地的威力
普通技能,雷霆一击,召唤天裂之力于利刃之中，对敌人造成致命伤害
普通技能,末日审判,炙热的龙焰与冻绝的冰息，汇合成内敛之气，爆发于瞬间
普通技能,劈星斩,将刀光幻化成缕缕虹光环绕四周，对敌人造成致命伤害
普通技能,破魂斩,将雷霆万钧之力凝于双刀之尖，对敌人造成致命伤害
普通技能,噬魂沼泽,召唤噬魂沼泽，对敌人造成致命伤害
普通技能,召唤月灵,集天地万物之灵气，发挥精神力的极限，召唤出月灵为自己战斗
普通技能,斗转星移,利用奇经神冲穴气海分担所受大额伤害
普通技能,神龙附体,燃烧自己的内力，短时间内大幅提升攻击力
普通技能,神秘解读,技能等级越高，制作神秘卷轴的成功率越高
普通技能,唯我独尊,运用内力激发经脉潜能，立即解除麻痹状态
普通技能,皓月破空,运用内力激发潜能，对全屏敌人造成毁灭性伤害
普通技能,灭世,运用内力激发潜能，对全屏敌人造成毁灭性伤害

普通技能,主宰破魂斩,将雷霆万钧之力凝于双刀之尖，对敌人造成致命伤害，需联手主宰者一起使用
普通技能,主宰劈星斩,将刀光幻化成缕缕虹光环绕四周，对敌人造成致命伤害，需联手主宰者一起使用
普通技能,主宰雷霆一击,召唤天裂之力于利刃之中，对敌人造成致命伤害，需联手主宰者一起使用
普通技能,主宰噬魂沼泽,召唤噬魂沼泽，对敌人造成致命伤害，需联手主宰者一起使用
普通技能,主宰末日审判,炙热的龙焰与冻绝的冰息，汇合成内敛之气，爆发于瞬间，需联手主宰者一起使用
普通技能,主宰火龙气焰,召唤出可以熔化天日的火龙气焰，需联手主宰者一起使用

内功技能,怒之火球,利用内力提升施放火球术的伤害
内功技能,怒之地狱火,利用内力提升施放地狱火的伤害
