1	4	圣战套装	圣战头盔|圣战项链|圣战手镯|圣战戒指	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	10|10|0|0|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	战士圣战套生效!
2	4	法神套装	法神头盔|法神项链|法神手镯|法神戒指	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	10|10|0|0|0|5|0|0|0|0|0|0|0|0|0|0|0|0|0|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	法神套生效!
3	4	天尊套装	天尊头盔|天尊项链|天尊手镯|天尊戒指	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	10|10|0|0|0|0|5|0|0|0|0|0|0|0|0|0|0|0|0|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	法神套生效!
4	5	雷霆套装	雷霆项链|雷霆护腕|雷霆战戒|雷霆战靴|雷霆腰带	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	20|20|0|0|4|0|0|5|0|0|0|0|0|0|0|0|5|0|0|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	雷霆套生效!
5	5	光芒套装	光芒项链|光芒护腕|光芒道戒|光芒道靴|光芒腰带	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	20|20|0|0|0|0|4|0|0|0|0|0|0|0|0|0|0|0|4|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	雷霆套生效!
6	5	烈焰套装	烈焰项链|烈焰护腕|烈焰魔戒|烈焰魔靴|烈焰腰带	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	20|20|0|0|0|4|0|0|0|0|0|0|0|0|0|0|0|4|0|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	雷霆套生效!
7	6	战神套装	战神项链|战神手镯|战神戒指|战神头盔|战神之靴|战神腰带	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	30|30|0|0|5|0|0|10|0|0|0|0|0|0|0|0|10|0|0|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	战神套生效!
8	6	圣魔套装	圣魔项链|圣魔手镯|圣魔戒指|圣魔头盔|圣魔魔靴|圣魔腰带	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	30|30|0|0|0|5|0|0|0|0|0|0|0|0|0|0|0|8|0|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	圣魔套生效!
9	6	真魂套装	真魂项链|真魂手镯|真魂戒指|真魂头盔|真魂道靴|真魂腰带	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	30|30|0|0|0|0|5|0|0|0|0|0|0|0|0|0|0|0|8|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	真魂套生效!
10	8	天龙套装	天龙火衣(男)|天龙火衣(女)|天龙神剑|天龙头盔|天龙项链|天龙手镯|天龙戒指|天龙腰带|天龙靴子	0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	50|50|0|0|5|5|5|0|0|0|0|0|0|0|0|0|11|8|8|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	天龙套生效!
12	2	时装倚天	倚天|银装素裹(男)|粉妆玉砌(女)	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|5|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	60|60|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	时装倚天套生效!
13	6	炎龙套装	炎龙战盔|炎龙项链|炎龙战戒|炎龙护腕|炎龙腰带|炎龙战靴	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	120|120|0|0|8|0|0|15|0|0|0|0|0|0|0|0|15|0|0|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	炎龙套生效!
14	6	雷龙套装	雷龙魔盔|雷龙项链|雷龙魔戒|雷龙护腕|雷龙腰带|雷龙魔靴	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	120|120|0|0|0|8|0|0|15|0|0|0|0|30|0|0|0|15|0|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	雷龙套生效!
